School,Type_of_Organization,County,School_District,School_City,School_Zip_Code,School_Street,Number_of_Outlets_LT_15_ppb,Number_of_Outlets_GT_15_ppb,Any_Buildings_with_Lead_Free_Plumbing,Out_of_Service,Latitude,Longitude,Median_HH_income,County_population,County_White,County_Black_AfAm,County_Asian,County_Hispanic_Latino
CATO MERIDIAN ES,Public School,Cayuga,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CATO,13033,2851 NYS RTE 370 E,65,0,No,No,42.940095, -76.560755,56250,80026,73098,3009,387,1896
EMMA C CHASE SCHOOL,Public School,Sullivan,MONTICELLO CENTRAL SCHOOL,WURTSBORO,12790,28 PENNSYLVANIA AVE,59,3,No,Yes,41.705166, -74.711705,49160,77547,57780,6349,1033,10554
HAUPPAUGE H S,Public School,Suffolk,HAUPPAUGE UNION FREE SCHOOLS,HAUPPAUGE,11788,500 LINCOLN BLVD,357,0,No,Yes,40.820237, -73.119032,101034,1493350,1068728,102117,50295,246239
JOHN G DINKELMEYER SCHOOL,Public School,Nassau,NORTH BELLMORE U F S,NORTH BELLMORE,11710,2100 WALTOFFER AVE,18,0,No,Yes,40.715749, -73.601185,104146,1339532,877309,141305,101558,195355
MARION G. VEDDER ELEMENTARY SCHOOL,Public School,Suffolk,NORTH BABYLON UNION FREE SCHOOL,NORTH BABYLON,11703,794 DEER PARK AVE,51,0,No,Yes,40.820237, -73.119032,89500,1493350,1068728,102117,50295,246239
WILLIAM H SEWARD ELEMENTARY SCHOOL,Public School,Cayuga,AUBURN CITY SCHOOLS,AUBURN,13021,52 METCALF DR,38,0,No,No,42.940095, -76.560755,47070,80026,73098,3009,387,1896
LAKE PLEASANT SCHOOL,Public School,Hamilton,LAKE PLEASANT CENTRAL SCHOOL,SPECULATOR,12164,LAKE PLEASANT SCHOOL,47,8,No,Yes,43.618468, -74.395268,53750,4836,4664,33,24,51
X361,Public School,Bronx,NYC DOE,Bronx,10467,268 EAST 211 STREET,117,0,No,No,40.880661, -73.875268,35358,1385108,151209,416695,47335,741413
LAKE SHORE SHS,Public School,Erie,LAKE SHORE CENTRAL SCHOOL,ANGOLA,14006,959 BEACH RD,196,43,No,Yes,42.888143, -78.795544,55305,919040,714156,119916,23621,41731
GARDEN CITY S H S,Public School,Nassau,GARDEN CITY UNION FREE SCHOOL,GARDEN CITY,11530,MERILLON + ROCKAWAY,30,0,No,Yes,40.715749, -73.601185,126354,1339532,877309,141305,101558,195355
Q177,Public School,Queens,NYC DOE,Queens,11365,56-37 188 STREET,54,0,No,No,40.7434, -73.787419,56131,2230722,616727,395881,508334,613750
LAKEVIEW ELEM SCHOOL,Public School,Putnam,MAHOPAC CENTRAL SCHOOL,MAHOPAC,10541,112 LAKEVIEW DR,39,25,No,Yes,41.41131, -73.717443,105798,99710,82709,2047,1832,11661
WESTCHESTER BOCES CAREER CAMPUS BUILDING C (LEAD ONLY),BOCES School,Westchester,BOCES No District Name,VALHALLA,10595,65 GRASSLANDS ROAD,6,0,No,No,41.039278, -73.805386,103922,949113,544563,126585,51123,207032
HENRY L STIMSON J H S,Public School,Suffolk,SOUTH HUNTINGTON SCHOOL DISTRICT,HUNTINGTON STATION,11746,OAKWOOD RD,84,14,No,Yes,40.820237, -73.119032,96499,1493350,1068728,102117,50295,246239
OSWEGO BOCES NURSING PROGRAM W450 (LEAD ONLY),BOCES School,Oswego,BOCES No District Name,MEXICO,13114,179 COUNTY ROUTE 64,8,0,No,No,43.39123, -76.31133,51438,122109,116091,862,709,2552
X475,Public School,Bronx,NYC DOE,Bronx,10463,99 TERRACE VIEW AVENUE,200,0,No,No,40.877379, -73.912686,53282,1385108,151209,416695,47335,741413
X189,Public School,Bronx,NYC DOE,Bronx,10475,3441 STEENWICK AVENUE,160,0,No,No,40.882778, -73.830616,45460,1385108,151209,416695,47335,741413
MT PLESANT-BLYTHEDALE SCHOOL,Public School,Westchester,MT PLEASANT-BLYTHEDALE U F S,VALHALLA,10595,95 BRADHURST AVE,37,0,No,Yes,41.039278, -73.805386,103922,949113,544563,126585,51123,207032
FRANKLIN AVENUE SCHOOL,Public School,Rockland,PEARL RIVER UNION FREE SCHOOL,PEARL RIVER,10965,48 FRANKLIN AVE,69,3,No,Yes,41.127287, -74.017033,100324,311687,203670,34623,19099,48783
WEST RIDGE SCHOOL,Public School,Monroe,GREECE CENTRAL SCHOOL,ROCHESTER,14626,200 ALCOTT RD,66,0,No,Yes,43.161748, -77.620143,56480,744344,542034,107448,24023,54005
X015,Public School,Bronx,NYC DOE,Bronx,10453,2195 ANDREWS AVENUE,201,0,No,No,40.859243, -73.909763,26120,1385108,151209,416695,47335,741413
MARTIN LUTHER KING SCHOOL,Public School,Schenectady,SCHENECTADY CITY SCHOOLS,SCHENECTADY,12307,918 STANLEY ST,48,2,No,Yes,42.809233, -73.946838,23771,154727,119409,13528,4917,8827
R024,Public School,Richmond,NYC DOE,Staten Island,10308,225 CLEVELAND AVENUE,131,0,No,No,40.54549, -74.145558,90196,468730,300169,44313,34697,81051
Q201,Public School,Queens,NYC DOE,Queens,11367,65-11 155 STREET,133,0,No,No,40.736541, -73.813011,52199,2230722,616727,395881,508334,613750
GREATER SOUTHERN TIER BOCES COOPERS 5 COMPUTER GRAPHICS (LEAD ONLY),BOCES School,Schuyler,BOCES No District Name,PAINTED POST,14870,ROAD 2,1,0,No,Yes,42.38593, -76.872032,54555,18343,17646,143,51,234
GREENVILLE SCHOOL,Public School,Westchester,EDGEMONT UFS GREENBURGH,SCARSDALE,10583,100 GLENDALE RD,84,3,No,Yes,41.039278, -73.805386,165792,949113,544563,126585,51123,207032
BEEKMANTOWN H S,Public School,Clinton,BEEKMANTOWN CENTRAL SCHOOL,WEST CHAZY,12992,37 EAGLE WAY,110,0,No,No,44.731944, -73.548883,55724,82128,74832,2953,890,2054
PEEKSKILL MIDDLE SCHOOL,Public School,Westchester,PEEKSKILL CITY SCHOOLS,PEEKSKILL,10566,RINGGOLD ST,41,0,No,Yes,41.039278, -73.805386,60833,949113,544563,126585,51123,207032
GREENBURGH ELEVEN HS,Public School,Westchester,GREENBURGH ELEVEN UFSD,DOBBS FERRY,10522,GREENBURGH ELEVEN US,35,3,No,No,41.039278, -73.805386,106989,949113,544563,126585,51123,207032
SANDY CREEK MS,Public School,Oswego,SANDY CREEK CENTRAL SCHOOL,SANDY CREEK,13145,124 SALISBURY,54,1,No,Yes,43.39123, -76.31133,41250,122109,116091,862,709,2552
BRIDGEHAMPTON ELEM AND H S,Public School,Suffolk,BRIDGEHAMPTON U F S,BRIDGEHAMPTON,11932,2685 MONTAUK HIGHWAY,51,0,No,Yes,40.820237, -73.119032,67961,1493350,1068728,102117,50295,246239
PAIGE ELEM SCHOOL,Public School,Schenectady,SCHENECTADY CITY SCHOOLS,SCHENECTADY,12304,104 ELLIOTT,28,0,No,Yes,42.809233, -73.946838,42604,154727,119409,13528,4917,8827
MARCUS WHITMAN MIDDLE SCHOOL,Public School,Ontario,GORHAM-MDLSEX CENT SCH,RUSHVILLE,14544,4100 BALWIN ROAD,43,0,No,Yes,42.894571, -77.252045,60729,107931,99119,2226,1111,3679
X919,Public School,Bronx,NYC DOE,Bronx,10469,980 MACE AVENUE,10,0,No,No,40.862481, -73.859254,55724,1385108,151209,416695,47335,741413
K084,Public School,Kings,NYC DOE,Brooklyn,11211,250 BERRY STREET,152,0,No,No,40.715089, -73.963808,44173,2504700,893306,799066,260129,496285
PS 33 BILINGUAL CENTER,Public School,Erie,BUFFALO CITY SCHOOLS,BUFFALO,14210,157 ELK ST,77,1,No,Yes,42.888143, -78.795544,32461,919040,714156,119916,23621,41731
M136,Public School,New York,NYC DOE,Manhattan,10030,6 EDGECOMBE AVENUE,72,0,No,No,40.817228, -73.947151,30674,1585873,761493,205340,177624,403577
LITTLE TOR ELEM SCHOOL,Public School,Rockland,CLARKSTOWN CENTRAL SCHOOL,NEW CITY,10956,56 GREGORY ST,61,4,No,Yes,41.127287, -74.017033,119022,311687,203670,34623,19099,48783
NORTH H S,Public School,Nassau,VALLEY STR CENTRAL H S,FRANKLIN SQUARE,11010,750 HERMAN AVE,154,0,No,Yes,40.715749, -73.601185,87130,1339532,877309,141305,101558,195355
Q904,Public School,Queens,NYC DOE,Queens,11101,5-14/16 49TH AVENUE,5,0,No,No,40.743542, -73.955648,43909,2230722,616727,395881,508334,613750
GJ MANN ELEMENTARY,Public School,Niagara,NIAGARA FALLS CITY SCHOOLS,NIAGARA FALLS,14304,1330 95TH ST,102,0,No,Yes,43.134634, -78.856419,47484,216469,188907,14511,1807,4694
THOMAS EDISON HS,Public School,Chemung,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,ELMIRA HEIGHTS,14903,2083 COLLEGE AVE,73,0,No,Yes,42.116644, -76.812331,43931,88830,77643,5528,1041,2240
X034,Public School,Bronx,NYC DOE,Bronx,10460,770 GROTE STREET,144,0,No,No,40.850168, -73.883877,22625,1385108,151209,416695,47335,741413
X090,Public School,Bronx,NYC DOE,Bronx,10456,1116 SHERIDAN AVENUE,93,0,No,No,40.831873, -73.917526,22604,1385108,151209,416695,47335,741413
M223,Public School,New York,NYC DOE,Manhattan,10027,71-111 CONVENT AVE,29,0,No,No,40.816626, -73.951292,35694,1585873,761493,205340,177624,403577
NORTHSIDE SCHOOL,Public School,Nassau,LEVITTOWN UNION FREE SCHOOL,LEVITTOWN,11756,PELICAN RD,40,0,No,Yes,40.715749, -73.601185,97675,1339532,877309,141305,101558,195355
HUNTINGTON H S,Public School,Suffolk,HUNTINGTON UNION FREE SCHOOL,HUNTINGTON,11743,MCKAY + OAKWOOD RDS,287,0,No,Yes,40.820237, -73.119032,113535,1493350,1068728,102117,50295,246239
BROOKSIDE ELEM SCHOOL,Public School,Nassau,BALDWIN UNION FREE SCHOOL,BALDWIN,11510,940 E STANTON AVE,39,7,No,Yes,40.715749, -73.601185,99755,1339532,877309,141305,101558,195355
X146,Public School,Bronx,NYC DOE,Bronx,10456,968 CAULDWELL AVENUE,123,0,No,No,40.824717, -73.905734,22604,1385108,151209,416695,47335,741413
Q118,Public School,Queens,NYC DOE,Queens,11412,190-20 109 ROAD,66,0,No,No,40.703182, -73.765237,71292,2230722,616727,395881,508334,613750
BROOKSIDE ES,Public School,Broome,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,BINGHAMTON,13903,3849 SADDLEMIRE RD,84,0,No,Yes,42.122015, -75.933191,44868,200600,173074,8850,7019,6778
SOUTH BAY SCHOOL,Public School,Suffolk,WEST BABYLON UNION FREE SCHOOL,W BABYLON,11704,160 GREAT E NECK RD,72,1,No,Yes,40.820237, -73.119032,83161,1493350,1068728,102117,50295,246239
THOMAS J WATSON SR ES,Public School,Broome,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,ENDICOTT,13760,263 RIDGEFIELD RD,78,0,No,No,42.122015, -75.933191,51016,200600,173074,8850,7019,6778
MARGUERITE L MULVEY SCHOOL,Public School,Suffolk,CENTRAL ISLIP U F S,CENTRAL ISLIP,11722,44 EAST CHERRY ST,58,0,No,Yes,40.820237, -73.119032,67041,1493350,1068728,102117,50295,246239
PORT DICKINSON ES,Public School,Broome,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,BINGHAMTON,13901,770 Chenango Street,108,0,No,No,42.122015, -75.933191,39597,200600,173074,8850,7019,6778
ELMONT MEMORIAL J S H S,Public School,Nassau,SEWANHAKA CENTRAL HIGH SCHOOL,ELMONT,11003,555 RIDGE RD,14,0,No,Yes,40.715749, -73.601185,83754,1339532,877309,141305,101558,195355
HILLSIDE ELEMENTARY SCHOOL,Public School,Westchester,HASTINGS ON HUDSON U F S,HASTINGS HDSN,10706,120 LEFURGY AVE,83,0,No,Yes,41.039278, -73.805386,121932,949113,544563,126585,51123,207032
WILLIAM B WARD ELEM SCHOOL,Public School,Westchester,NEW ROCHELLE CITY SCHOOLS,NEW ROCHELLE,10804,311 BROADFIELD RD,130,49,No,Yes,41.039278, -73.805386,155489,949113,544563,126585,51123,207032
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,BOCES School,Albany,BOCES No District Name,ALBANY,12205,900 WATERVLIET SHAKER ROAD,184,28,No,Yes,42.678066, -73.814233,64953,304204,231152,36396,14500,14917
FRANKLIN-ESSEX HAMILTON BOCES,BOCES School,Franklin,BOCES No District Name,MALONE,12953,23 Huskie Lane,80,0,No,Yes,44.705699, -74.340621,49363,51599,42640,2834,215,1506
X083,Public School,Bronx,NYC DOE,Bronx,10462,950 RHINELANDER AVENUE,94,0,No,No,40.849176, -73.858769,46001,1385108,151209,416695,47335,741413
K521,Public School,Kings,NYC DOE,Brooklyn,11219,1057 52ND STREET,119,0,No,No,40.636501, -73.999057,34590,2504700,893306,799066,260129,496285
FRANKFORT SCHUYLER ELEMENTARY SCHOOL,Public School,Herkimer,FRANKFORT SCHUYLER CENTRAL SCHOOL,Frankfort,13340,610 Reese Road,66,2,No,Yes,43.070026, -74.994246,49873,64519,61690,640,325,1040
SCHOOL 23 FRANCIS PARKER,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14607,170 BARRINGTON ST,26,2,No,Yes,43.161748, -77.620143,38750,744344,542034,107448,24023,54005
P S 18,Public School,Rensselaer,TROY CITY SCHOOLS,TROY,12180,412 Hoosick Street,32,0,No,Yes,42.70098, -73.628669,47418,159429,136555,9592,3469,6080
K233,Public School,Kings,NYC DOE,Brooklyn,11236,9301 AVENUE B,103,0,No,No,40.651642, -73.914282,60758,2504700,893306,799066,260129,496285
LYNDON H STROUGH J H S (Reopened after RENOVATIONS 2016-2018),Public School,Oneida,ROME CITY SCHOOLS,ROME,13440,801 LAUREL ST,158,0,No,No,43.149482, -75.361773,50466,234878,199254,13682,6522,10819
WILLIAM T ROGERS J H S,Public School,Suffolk,KINGS PARK CENTRAL SCHOOL,KINGS PARK,11754,97 OLD DOCK RD,39,1,No,Yes,40.820237, -73.119032,98589,1493350,1068728,102117,50295,246239
JOHN F KENNEDY SCHOOL,Public School,Westchester,PORT CHESTER-RYE U F S,PORT CHESTER,10573,40 OLIVIA ST,23,0,No,Yes,41.039278, -73.805386,63931,949113,544563,126585,51123,207032
K111,Public School,Kings,NYC DOE,Brooklyn,11221,35 STARR STREET,103,0,No,No,40.70081, -73.927938,37608,2504700,893306,799066,260129,496285
WEST HEMPSTEAD MS,Public School,Nassau,WEST HEMPSTEAD U F S,W HEMPSTEAD,11552,450 NASSAU BLVD.,23,0,No,Yes,40.715749, -73.601185,96323,1339532,877309,141305,101558,195355
R P CONNORS,Public School,Rockland,RAMAPO CENTRAL SCHOOLS,SUFFERN,10901,CYPRESS RD,91,7,No,Yes,41.127287, -74.017033,87665,311687,203670,34623,19099,48783
K453,Public School,Kings,NYC DOE,Brooklyn,11209,8501 5TH AVENUE,9,0,No,No,40.622039, -74.025734,57713,2504700,893306,799066,260129,496285
Q280,Public School,Queens,NYC DOE,Queens,11372,34-20 94TH STREET,68,0,No,No,40.753345, -73.874109,47750,2230722,616727,395881,508334,613750
K470,Public School,Kings,NYC DOE,Brooklyn,11203,600 KINGSTON AVENUE,170,0,No,No,40.658671, -73.943839,49002,2504700,893306,799066,260129,496285
K121,Public School,Kings,NYC DOE,Brooklyn,11204,5301 20 AVENUE,59,0,No,No,40.622671, -73.978472,45112,2504700,893306,799066,260129,496285
M535,Public School,New York,NYC DOE,Manhattan,10019,525 WEST 50TH STREET,286,0,No,No,40.765474, -73.9927,80519,1585873,761493,205340,177624,403577
X173,Public School,Bronx,NYC DOE,Bronx,10453,1871 WALTON AVENUE,86,0,No,No,40.848907, -73.909936,26120,1385108,151209,416695,47335,741413
R068,Public School,Richmond,NYC DOE,Staten Island,10311,1 TELEPORT DRIVE,51,0,No,No,40.607104, -74.178183,NA,468730,300169,44313,34697,81051
ISLAND TREES S H S,Public School,Nassau,ISLAND TREES UNION FREE SCHOOL,LEVITTOWN,11756,ISLAND TREES 6,25,1,No,Yes,40.715749, -73.601185,97675,1339532,877309,141305,101558,195355
K203,Public School,Kings,NYC DOE,Brooklyn,11234,5101 AVENUE M,81,0,No,No,40.622108, -73.925732,68177,2504700,893306,799066,260129,496285
SAPPHIRE ELEM SCHOOL,Public School,Orange,MONROE WOODBURY CENTRAL SCHOOL,HARRIMAN,10926,159 HARRIMAN HEIGHTS,39,2,No,Yes,41.422459, -74.241929,72469,372813,254259,33895,8685,67185
K126,Public School,Kings,NYC DOE,Brooklyn,11222,424 LEONARD STREET,170,0,No,No,40.719818, -73.947932,62634,2504700,893306,799066,260129,496285
Q276,Public School,Queens,NYC DOE,Queens,11433,108-29 155 STREET,151,0,No,No,40.693736, -73.796358,43419,2230722,616727,395881,508334,613750
R071,Public School,Richmond,NYC DOE,Staten Island,10304,1050 Targee Street,323,0,No,No,40.603492, -74.091239,51852,468730,300169,44313,34697,81051
LITTLE FLOWER SCHOOL,Public School,Suffolk,LITTLE FLOWER U F S,WADING RIVER,11792,N WADING RIVER RD,24,2,No,Yes,40.820237, -73.119032,120804,1493350,1068728,102117,50295,246239
Q068,Public School,Queens,NYC DOE,Queens,11385,59-09 SAINT FELIX AVENUE,113,0,No,No,40.696961, -73.897372,51258,2230722,616727,395881,508334,613750
Q038,Public School,Queens,NYC DOE,Queens,11422,135-21 241 STREET,49,0,No,No,40.67115, -73.733774,85151,2230722,616727,395881,508334,613750
THOMAS K BEECHER SCHOOL,Public School,Chemung,ELMIRA CITY SCHOOL DISTRICT,ELMIRA,14901,310 Sullivan St,92,0,No,Yes,42.116644, -76.812331,27446,88830,77643,5528,1041,2240
K356,Public School,Kings,NYC DOE,Brooklyn,11212,104 SUTTER AVENUE,158,0,No,No,40.665553, -73.91788,27901,2504700,893306,799066,260129,496285
M371,Public School,New York,NYC DOE,Manhattan,10039,276 WEST 151ST STREET,19,0,No,No,40.825831, -73.937833,35710,1585873,761493,205340,177624,403577
TIOGA HILLS ES,Public School,Broome,VESTAL CENTRAL SCHOOL DISTRICT,APALACHIN,13732,40 GLANN RD,100,0,No,No,42.122015, -75.933191,70924,200600,173074,8850,7019,6778
Q809,Public School,Queens,NYC DOE,Queens,11361,221-21 CORBETT ROAD,39,0,No,No,40.770666, -73.763295,72837,2230722,616727,395881,508334,613750
M036,Public School,New York,NYC DOE,Manhattan,10027,123 MORNINGSIDE DRIVE,202,0,No,No,40.810705, -73.957409,35694,1585873,761493,205340,177624,403577
K867,Public School,Kings,NYC DOE,Brooklyn,11216,960 PROSPECT PLACE,22,0,No,No,40.67377, -73.944961,41688,2504700,893306,799066,260129,496285
HUDSON FALLS S H S,Public School,Washington,HUDSON FALLS CENTRAL SCHOOL,HUDSON FALLS,12839,E LABARGE ST,202,7,No,Yes,43.289513, -73.454761,44869,63216,58996,1734,260,1446
Q053,Public School,Queens,NYC DOE,Queens,11691,10-45 NAMEOKE STREET,84,0,No,No,40.604019, -73.749891,38631,2230722,616727,395881,508334,613750
EVANS MILLS PRIMARY SCHOOL,Public School,Jefferson,INDIAN RIVER CENTRAL SCHOOL,EVANS MILLS,13637,8442 SOUTH MAIN ST,102,4,No,Yes,44.019295, -75.898971,43393,116229,99682,5475,1464,6143
NASSAU BOCES IRIS WOLFSON HS GREENVALE CRT (LEAD ONLY),BOCES School,Nassau,BOCES No District Name,GREENVALE,11548,21 CHESTNUT STREET,15,0,No,Yes,40.715749, -73.601185,101250,1339532,877309,141305,101558,195355
M076,Public School,New York,NYC DOE,Manhattan,10027,220 WEST 121 STREET,136,0,No,No,40.806534, -73.951451,35694,1585873,761493,205340,177624,403577
HILLVIEW ELEM SCHOOL,Public School,Erie,LANCASTER CENTRAL SCHOOL,LANCASTER,14086,TRANSIT PLEASANTVIEW,82,1,No,Yes,42.888143, -78.795544,73024,919040,714156,119916,23621,41731
HILLSIDE SCHOOL,Public School,Schenectady,NISKAYUNA CENTRAL SCHOOL,SCHENECTADY,12309,CORNELIUS AVE,100,2,No,Yes,42.809233, -73.946838,88982,154727,119409,13528,4917,8827
TECUMSEH ELEM SCHOOL,Public School,Suffolk,SACHEM CENT SCH AT HOLBROOK,FARMINGVILLE,11738,179 GRANNY RD,40,0,No,Yes,40.820237, -73.119032,90313,1493350,1068728,102117,50295,246239
X387,Public School,Bronx,NYC DOE,Bronx,10463,5500 BROADWAY,19,0,No,No,40.877062, -73.906185,53282,1385108,151209,416695,47335,741413
CLOUGH PREK CENTER,Public School,Oneida,ROME CITY SCHOOLS,ROME,13440,409 Bell Road,44,0,No,No,43.149482, -75.361773,50466,234878,199254,13682,6522,10819
Q797,Public School,Queens,NYC DOE,Queens,11104,41-12 44TH STREET,29,0,No,No,40.746352, -73.920429,54188,2230722,616727,395881,508334,613750
CHURCHVILLE-CHILI MIDDLE SCHOOL,Public School,Monroe,CHURCHVILLE CHILI CENTRAL SCHOOL,CHURCHVILLE,14428,139 FAIRBANKS RD,105,11,No,No,43.161748, -77.620143,59350,744344,542034,107448,24023,54005
FRANKLINVILLE ES,Public School,Cattaraugus,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,FRANKLINVILLE,14737,31 N MAIN ST,101,12,No,Yes,42.224267, -78.606673,36353,80317,73849,966,524,1345
K662,Public School,Kings,NYC DOE,Brooklyn,11223,385 AVENUE W,10,0,No,No,40.592894, -73.968638,40960,2504700,893306,799066,260129,496285
MARTIN ROAD ELEMENTARY SCHOOL,Public School,Erie,LACKAWANNA CITY SCHOOLS,Lackawanna,14218,135 Martin Road,20,1,No,Yes,42.888143, -78.795544,37256,919040,714156,119916,23621,41731
K188,Public School,Kings,NYC DOE,Brooklyn,11224,3314 NEPTUNE AVENUE,85,0,No,No,40.576733, -74.000489,31415,2504700,893306,799066,260129,496285
NORWOOD AVENUE SCHOOL,Public School,Suffolk,NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT,NORTHPORT,11768,25 NORWOOD AVE,81,0,No,Yes,40.820237, -73.119032,117005,1493350,1068728,102117,50295,246239
LOUIS DENTI SCHOOL,Public School,Oneida,ROME CITY SCHOOLS,ROME,13440,1001 RUBY ST,124,0,No,No,43.149482, -75.361773,50466,234878,199254,13682,6522,10819
ADIRONDACK H S,Public School,Oneida,ADIRONDACK CENT SCH-BOONVILLE,BOONVILLE,13309,8181 ST. RT. 294,10,1,No,Yes,43.149482, -75.361773,49886,234878,199254,13682,6522,10819
MHS AMES CAMPUS,Public School,Nassau,MASSAPEQUA UNION FREE SCHOOL,MASSAPEQUA,11758,198 BALTIMORE AVE,19,0,No,Yes,40.715749, -73.601185,105349,1339532,877309,141305,101558,195355
Q076,Public School,Queens,NYC DOE,Queens,11106,36-36 10 STREET,150,0,No,No,40.760862, -73.94163,49371,2230722,616727,395881,508334,613750
CASEY MS,Public School,Erie,WILLIAMSVILLE CENTRAL SCHOOL,EAST AMHERST,14051,105 CASEY RD,130,26,No,Yes,42.888143, -78.795544,103592,919040,714156,119916,23621,41731
DOBBS FERRY H S,Public School,Westchester,DOBBS FERRY UNION FREE SCHOOL,DOBBS FERRY,10522,BROADWAY,27,1,No,Yes,41.039278, -73.805386,106989,949113,544563,126585,51123,207032
M098,Public School,New York,NYC DOE,Manhattan,10034,512 WEST 212 STREET,92,0,No,No,40.867741, -73.917814,43049,1585873,761493,205340,177624,403577
WOODLAND S H S (and JHS for lead reporting),Public School,Westchester,GREENBURGH CENTRAL SCHOOL,HARTSDALE,10530,475 W HARTSDALE AVE,18,3,No,Yes,41.039278, -73.805386,93320,949113,544563,126585,51123,207032
SULLIVAN BOCES RPEC SPECIAL EDUCATION (LEAD ONLY),BOCES School,Sullivan,BOCES No District Name,LIBERTY,12754,52 FERNDALE LOOMIS ROAD,NA,NA,No,No,41.705166, -74.711705,41861,77547,57780,6349,1033,10554
DONALD S. RAY MIDDLE SCHOOL,Public School,Onondaga,BALDWINSVILLE CENTRAL SCHOOL,BALDWINSVILLE,13027,7650 VAN BUREN RD,27,3,No,Yes,43.065629, -76.168033,64525,467026,370040,48696,14370,18829
X471,Public School,Bronx,NYC DOE,Bronx,10455,701 ST. ANNS AVENUE,1,0,No,No,40.818041, -73.911633,21379,1385108,151209,416695,47335,741413
X177,Public School,Bronx,NYC DOE,Bronx,10467,3177 WEBSTER AVENUE,141,0,No,No,40.872559, -73.875375,35358,1385108,151209,416695,47335,741413
CLINTON-ESSEX-WARREN-WASHINGTON BOCES NORTH HANGAR (LEAD ONLY),BOCES School,Clinton,BOCES No District Name,PLATTSBURGH,12901,518 RUGAR STREET,NA,NA,No,No,44.731944, -73.548883,42622,82128,74832,2953,890,2054
JONAS E SALK J H S,Public School,Nassau,LEVITTOWN UNION FREE SCHOOL,LEVITTOWN,11756,3359 N JERUSALEM RD,35,0,No,Yes,40.715749, -73.601185,97675,1339532,877309,141305,101558,195355
X110,Public School,Bronx,NYC DOE,Bronx,10456,580 CROTONA PARK SOUTH,118,0,No,No,40.83447, -73.900654,22604,1385108,151209,416695,47335,741413
M110,Public School,New York,NYC DOE,Manhattan,10002,285 DELANCY STREET,66,0,No,No,40.7162, -73.9798,32265,1585873,761493,205340,177624,403577
SANFORD STREET ELEMENTARY SCHOOL (LEAD ONLY),Public School,Warren,GLENS FALLS CITY SCHOOLS,GLENS FALLS,12801,10 SANFORD STREET,63,0,No,Yes,43.403024, -73.716044,43533,65707,62585,556,449,1178
ST LAWRENCE - LEWIS BOCES,BOCES School,St. Lawrence,BOCES No District Name,CANTON,13617,40 W MAIN ST,234,24,No,Yes,44.689468, -75.242045,51039,111944,103943,2259,1074,2146
HAMPTON BAYS MIDDLE SCHOOL,Public School,Suffolk,HAMPTON BAYS UNION FREE SCHOOL,HAMPTON BAYS,11946,70 PONQUOGUE AVENUE,41,0,No,Yes,40.820237, -73.119032,72049,1493350,1068728,102117,50295,246239
DOVER ES,Public School,Dutchess,DOVER UNION FREE SCHOOL DISTRICT,DOVER PLAINS,12522,9 SCHOOL ST,43,0,No,No,41.686216, -73.840468,64243,297488,221812,27395,10330,31267
L P QUINN ELEM SCHOOL,Public School,Franklin,TUPPER LAKE CENTRAL SCHOOL,TUPPER LAKE,12986,294 HOSLEY AVE,96,4,No,Yes,44.705699, -74.340621,49252,51599,42640,2834,215,1506
